Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd0d6f7b8      1         24 Polly.PollyServiceCollectionExtensions+<>c__DisplayClass2_0<System.String>
7ffcd0df3e70      1         24 Polly.PollyServiceCollectionExtensions+RegistryMarker<System.String>
7ffcd0df4350      1         24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.DependencyInjection.ServiceDescriptor>
7ffcd0df4710      1         24 Polly.PollyServiceCollectionExtensions+<>c
7ffcd0df4fc0      1         24 Polly.PollyServiceCollectionExtensions+<>c__5<System.String>
7ffcd0df6290      1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<Order.API.OrderSetting>
7ffcd0df7310      1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<EventBus.SprintEventBusSetting>
7ffcd0df7b38      1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<HttpExtension.SprintHttpCommonSetting>
7ffcd0df8360      1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<EventBus.Kafka.EventBusKafkaSetting>
7ffcd0df8b88      1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<Utility.Package.Models.Jwt>
7ffcd0dfbdb0      1         24 Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions+<>c
7ffcd0df9600      1         24 Microsoft.Extensions.DependencyInjection.DefaultHttpClientConfigurationTracker
7ffcd0dfe2f0      1         24 Microsoft.Extensions.DependencyInjection.DefaultHttpClientBuilder+<>c
7ffcd0dfedd8      1         24 Microsoft.Extensions.DependencyInjection.HttpClientBuilderExtensions+<>c__DisplayClass13_0<HttpFactory.Implementations.HttpClientService>
7ffcd0dfefb0      1         24 Microsoft.Extensions.DependencyInjection.HttpClientBuilderExtensions+<>c
7ffcd0dffc08      1         24 Microsoft.AspNetCore.Mvc.ViewComponents.ViewComponentFeatureProvider
7ffcd0e0e358      1         24 Microsoft.Extensions.DependencyInjection.DataProtectionServiceCollectionExtensions+<>c
7ffcd0e20790      1         24 Microsoft.Extensions.DependencyInjection.AntiforgeryServiceCollectionExtensions+<>c
7ffcd0e229f8      1         24 Microsoft.Extensions.DependencyInjection.EncoderServiceCollectionExtensions+<>c
7ffcd0e23668      1         24 Microsoft.Extensions.DependencyInjection.MvcViewFeaturesMvcCoreBuilderExtensions+<>c
7ffcd0e2d2c8      1         24 Microsoft.Extensions.DependencyInjection.RazorComponentsServiceCollectionExtensions+<>c
7ffcd0e2e488      1         24 Microsoft.Extensions.DependencyInjection.CascadingValueServiceCollectionExtensions+<>c__DisplayClass3_0<Microsoft.AspNetCore.Http.HttpContext>
7ffcd0e2f1b8      1         24 Microsoft.AspNetCore.Components.Web.InteractiveServerRenderMode
7ffcd0e2f2b0      1         24 Microsoft.AspNetCore.Components.Web.InteractiveWebAssemblyRenderMode
7ffcd0e2f0c0      1         24 Microsoft.AspNetCore.Components.Web.InteractiveAutoRenderMode
7ffcd0e2f9b0      1         24 Microsoft.AspNetCore.Components.PersistentServiceRegistration<Microsoft.AspNetCore.Components.ResourceCollectionProvider>
7ffcd0e607d0      1         24 Microsoft.AspNetCore.Components.Forms.Mapping.SupplyParameterFromFormServiceCollectionExtensions+<>c
