Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf3c54e10       1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartManager+<>c
7ffcf3c55fa0       1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.DefaultApplicationPartFactory
7ffcf3c56f60       1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.RelatedAssemblyAttribute[]
7ffcf3c58b98       1         24 System.Linq.Enumerable+EnumerableSorter<System.Reflection.Assembly>+<>c
7ffcf3c58f78       1         24 Microsoft.AspNetCore.Mvc.Controllers.ControllerFeatureProvider
7ffcf3d38b28       1         24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c
7ffcf3d394b0       1         24 Microsoft.Extensions.DependencyInjection.MvcApiExplorerMvcCoreBuilderExtensions+<>c
7ffcf3c21698       1         24 Order.API.CustomExtensionMethods+<>c
7ffcf3d51670       1         24 Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions+<>c
7ffcf3e625f0       1         24 Microsoft.Extensions.DependencyInjection.SwaggerGenServiceCollectionExtensions+<>c
7ffcf3e6b020       1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__DisplayClass1_0<Order.Infrastructure.OrderContext, Order.Infrastructure.OrderContext>
7ffcf3ee1580       1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__DisplayClass18_0<Order.Infrastructure.OrderContext>
7ffcf3ee17a8       1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__19<Order.Infrastructure.OrderContext>
7ffcf3ee1878       1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__10<Order.Infrastructure.OrderContext, Order.Infrastructure.OrderContext>
7ffcf3bdb9e0       1         24 Order.API.Startup+<>c
7ffcf3ee2910       1         24 Polly.PollyServiceCollectionExtensions+<>c__DisplayClass2_0<System.String>
7ffcf3ee6f88       1         24 Polly.PollyServiceCollectionExtensions+RegistryMarker<System.String>
7ffcf3ee7468       1         24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.DependencyInjection.ServiceDescriptor>
